System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),473.320,13334.910,13284.730,21317.790,16899.630,21248.700,163.660,
CPU Utilized,0.997,0.990,0.998,0.998,0.999,0.998,0.998,
Context Switches,0,103,31,53,7,48,0,
Context Switches per Second,0,7.724,2.334,2.486,0.414,2.259,0,
CPU Migration,0,0,0,2,1,2,0,
CPU Migration Rate per Second,0,0,0,0.094,0.059,0.094,0,
Page Fault,43,44,45,43,44,44,60,
Page Fault Rate per Second,91,3.300,3.387,2.017,2.604,2.071,366.614,
CPU Cycle Counts,670924601,1333499381,1328465357,1332356130,1351970024,1328033986,660346563,
CPU Frequency (GHz),1.417,0.100,0.100,0.062,0.080,0.062,4.035,
Instruction Counts,586461851,731455267,730085895,746551431,736389246,745682677,509548599,
Instructions per Cycle,0.870,0.550,0.550,0.560,0.540,0.560,0.770,
Cycles per Instruction,1.144,1.823,1.820,1.785,1.836,1.781,1.296,
Wall Clock Time,0.475,13.468,13.310,21.363,16.922,21.291,0.164,
User Space Time,0.475,13.280,13.254,21.284,16.871,21.223,0.164,
Kernel Space Time,0,0.064,0.048,0.056,0.052,0.048,0,
Average Power Consumption (mW),3145.078,5345.823,5459.100,5528.542,5594.366,5740.257,0,
