System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),909.760,27088.420,27991.220,44023.380,35154.010,42982.500,267.900,
CPU Utilized,0.994,0.992,0.994,0.996,0.994,0.995,0.996,
Context Switches,0,6851,6981,10978,8709,10668,0,
Context Switches per Second,0,252.912,249.400,249.368,247.738,248.194,0,
CPU Migration,0,0,0,1,1,0,0,
CPU Migration Rate per Second,0,0,0,0.023,0.028,0,0,
Page Fault,193,211,213,211,215,210,228,
Page Fault Rate per Second,212,7.789,7.610,4.793,6.116,4.886,851.074,
CPU Cycle Counts,1294882707,2707390704,2797936942,2750722709,2811106136,2685702929,1198328709,
CPU Frequency (GHz),1.423,0.100,0.100,0.062,0.080,0.062,4.473,
Instruction Counts,1127193778,1425985188,1438554303,1483036224,1445905277,1463828356,979106287,
Instructions per Cycle,0.870,0.530,0.510,0.540,0.510,0.550,0.820,
Cycles per Instruction,1.149,1.899,1.945,1.855,1.944,1.835,1.224,
Wall Clock Time,0.915,27.303,28.160,44.205,35.351,43.199,0.269,
User Space Time,0.897,26.641,27.507,43.509,34.611,42.432,0.269,
Kernel Space Time,0.016,0.453,0.454,0.511,0.526,0.498,0,
Average Power Consumption (mW),3192.447,5348.156,5467.849,5523.816,5603.805,5765.122,0,
