System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),458.970,13325.940,13400.540,21344.440,17131.580,21273.080,145.730,
CPU Utilized,0.997,0.989,0.995,0.996,0.997,0.997,0.998,
Context Switches,0,110,60,80,32,50,0,
Context Switches per Second,0,8.255,4.477,3.748,1.868,2.350,0,
CPU Migration,0,0,1,1,1,0,0,
CPU Migration Rate per Second,0,0,0.075,0.047,0.058,0,0,
Page Fault,83,92,89,92,91,87,123,
Page Fault Rate per Second,181,6.904,6.642,4.310,5.312,4.090,844.043,
CPU Cycle Counts,669977946,1332603440,1340053029,1334027671,1370523365,1329557465,661410397,
CPU Frequency (GHz),1.460,0.100,0.100,0.063,0.080,0.062,4.539,
Instruction Counts,586669981,731640543,732629656,747885154,739605625,745962544,509718471,
Instructions per Cycle,0.880,0.550,0.550,0.560,0.540,0.560,0.770,
Cycles per Instruction,1.142,1.821,1.829,1.784,1.853,1.782,1.298,
Wall Clock Time,0.460,13.480,13.467,21.424,17.177,21.327,0.146,
User Space Time,0.456,13.266,13.331,21.275,17.076,21.236,0.146,
Kernel Space Time,0.004,0.076,0.088,0.092,0.084,0.064,0,
Average Power Consumption (mW),3161.902,5345.749,5455.406,5526.482,5595.725,5757.157,0,
