System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),27.100,1586.810,1594.130,2520.460,2030.670,2519.470,6.700,
CPU Utilized,0.960,0.992,0.990,0.991,0.987,0.992,0.960,
Context Switches,0,12,4,12,2,6,0,
Context Switches per Second,0,7.562,2.509,4.761,0.985,2.381,0,
CPU Migration,0,0,0,0,0,1,0,
CPU Migration Rate per Second,0,0,0,0,0,0.397,0,
Page Fault,129,134,131,130,134,133,142,
Page Fault Rate per Second,5000,84.446,82.176,51.578,65.988,52.789,21179,
CPU Cycle Counts,29714975,158673869,159409577,157526015,162451130,157464767,27808243,
CPU Frequency (GHz),1.097,0.100,0.100,0.062,0.080,0.062,4.148,
Instruction Counts,51765028,75317706,75356174,76942160,76041580,76935521,51648264,
Instructions per Cycle,1.740,0.470,0.470,0.490,0.470,0.490,1.860,
Cycles per Instruction,0.574,2.107,2.115,2.047,2.136,2.047,0.538,
Wall Clock Time,0.028,1.600,1.610,2.544,2.057,2.540,0.007,
User Space Time,0.024,1.565,1.560,2.492,1.974,2.487,0.004,
Kernel Space Time,0.004,0.036,0.052,0.052,0.080,0.056,0.004,
Average Power Consumption (mW),3243.343,5332.334,5446.851,5526.272,5660.639,5738.314,0,
