System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),2633.470,41297.500,44534.340,51699.640,55985.920,52185.140,197.950,
CPU Utilized,1.223,0.812,1.595,1.608,1.979,2.226,1.738,
Context Switches,0,12058,8325,8830,5371,5527,0,
Context Switches per Second,0,291.979,186.934,170.794,95.935,105.911,0,
CPU Migration,0,0,1636,2271,66,167,0,
CPU Migration Rate per Second,0,0,36.736,43.927,1.179,3.200,0,
Page Fault,8313,8810,8812,8810,8807,8809,8815,
Page Fault Rate per Second,3000,213.330,197.870,170.407,157.307,168.803,44530,
CPU Cycle Counts,348544415,4027557663,4351137212,3165716198,4379782183,3198601149,283787833,
CPU Frequency (GHz),0.132,0.098,0.098,0.061,0.078,0.061,1.434,
Instruction Counts,435778107,1149475235,1183036497,1188759175,1202546187,1186096717,433304811,
Instructions per Cycle,1.250,0.290,0.270,0.380,0.270,0.370,1.530,
Cycles per Instruction,0.800,3.504,3.678,2.663,3.642,2.697,0.655,
Wall Clock Time,2.153,50.832,27.920,32.142,28.285,23.441,0.114,
User Space Time,0.262,6.750,11.762,17.866,16.918,18.070,0.087,
Kernel Space Time,2.516,24.156,26.109,27.249,30.343,24.271,0.147,
Average Power Consumption (mW),3377.721,5368.303,5588.960,5575.831,5813.711,5852.445,0,
