System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),996.560,41184.880,39654.040,48436.810,49903.620,47286.240,176.500,
CPU Utilized,0.777,0.812,0.882,0.885,0.880,0.890,0.818,
Context Switches,0,11838,3924,9852,5218,7520,0,
Context Switches per Second,0,287.436,98.956,203.399,104.562,159.031,0,
CPU Migration,0,0,1,1,1,0,0,
CPU Migration Rate per Second,0,0,0.025,0.021,0.020,0,0,
Page Fault,8845,8861,8856,8859,8861,8859,8870,
Page Fault Rate per Second,9000,215.152,223.332,182.898,177.562,187.348,50255,
CPU Cycle Counts,313300774,4014638823,3874447131,2954986612,3892618274,2893200006,266190439,
CPU Frequency (GHz),0.314,0.097,0.098,0.061,0.078,0.061,1.508,
Instruction Counts,436053947,1144846110,1089640363,1121981917,1106387717,1102382674,433476310,
Instructions per Cycle,1.390,0.290,0.280,0.380,0.280,0.380,1.630,
Cycles per Instruction,0.718,3.507,3.556,2.634,3.518,2.624,0.614,
Wall Clock Time,1.282,50.696,44.978,54.717,56.714,53.106,0.216,
User Space Time,0.227,6.443,12.604,11.491,13.235,12.848,0.058,
Kernel Space Time,0.861,24.217,17.288,31.715,28.951,28.390,0.136,
Average Power Consumption (mW),3209.800,5367.136,5498.414,5525.634,5624.318,5736.371,0,
