System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),1365.030,123439.170,122950.390,147923.930,157214.160,150641.430,246.190,
CPU Utilized,0.767,0.995,0.993,0.994,0.995,0.993,0.998,
Context Switches,0,801,362,484,260,160,0,
Context Switches per Second,0,6.489,2.944,3.272,1.654,1.062,0,
CPU Migration,0,0,4,10,9,12,0,
CPU Migration Rate per Second,0,0,0.033,0.068,0.057,0.080,0,
Page Fault,930,950,959,962,965,965,933,
Page Fault Rate per Second,681,7.696,7.800,6.503,6.138,6.406,3790,
CPU Cycle Counts,1867400926,12343669839,12294961589,9245205468,12577110794,9415097020,1080481736,
CPU Frequency (GHz),1.368,0.100,0.100,0.062,0.080,0.063,4.389,
Instruction Counts,2893521547,3709647503,3715609156,3755801140,3767018537,3755134518,2902702521,
Instructions per Cycle,1.550,0.300,0.300,0.410,0.300,0.400,2.690,
Cycles per Instruction,0.645,3.327,3.309,2.462,3.339,2.507,0.372,
Wall Clock Time,1.780,124.004,123.780,148.820,158.063,151.662,0.247,
User Space Time,1.339,123.007,122.368,147.251,156.404,149.964,0.243,
Kernel Space Time,0.028,0.391,0.564,0.667,0.820,0.692,0.004,
Average Power Consumption (mW),3359.236,5369.080,5472.625,5524.384,5607.886,5734.817,0,
