System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),1240.890,123317.010,122789.930,152397.770,154797.420,146249.590,249.450,
CPU Utilized,0.994,0.997,0.998,0.998,0.999,0.998,0.998,
Context Switches,0,725,432,501,209,488,0,
Context Switches per Second,0,5.879,3.518,3.287,1.350,3.337,0,
CPU Migration,0,0,0,0,1,1,0,
CPU Migration Rate per Second,0,0,0,0,0.006,0.007,0,
Page Fault,959,991,994,995,994,997,1000,
Page Fault Rate per Second,773,8.036,8.095,6.529,6.421,6.817,4009,
CPU Cycle Counts,1814469456,12331636250,12278933714,9524864656,12383782179,9140565389,1103516829,
CPU Frequency (GHz),1.462,0.100,0.100,0.063,0.080,0.062,4.424,
Instruction Counts,2892836291,3704207693,3708761433,3757902147,3757871830,3741514906,2902872942,
Instructions per Cycle,1.590,0.300,0.300,0.390,0.300,0.410,2.630,
Cycles per Instruction,0.627,3.329,3.311,2.535,3.295,2.443,0.380,
Wall Clock Time,1.249,123.700,123.038,152.676,154.994,146.567,0.250,
User Space Time,1.231,122.916,122.406,151.922,154.327,145.880,0.246,
Kernel Space Time,0.012,0.375,0.384,0.483,0.492,0.384,0.004,
Average Power Consumption (mW),3349.081,5374.524,5473.487,5525.252,5622.058,5734.817,0,
