System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),102.870,5324.180,5325.820,8434.270,6810,8396.500,13.740,
CPU Utilized,0.989,0.991,0.995,0.996,0.996,0.997,0.981,
Context Switches,0,46,22,27,17,21,0,
Context Switches per Second,0,8.640,4.131,3.201,2.496,2.501,0,
CPU Migration,0,0,1,1,1,0,0,
CPU Migration Rate per Second,0,0,0.188,0.119,0.147,0,0,
Page Fault,42,42,44,45,40,41,60,
Page Fault Rate per Second,408,7.889,8.262,5.335,5.874,4.883,4366,
CPU Cycle Counts,135116810,532420504,532578229,527140428,544797545,524777602,58784686,
CPU Frequency (GHz),1.313,0.100,0.100,0.062,0.080,0.062,4.278,
Instruction Counts,202924260,264795199,264648083,270931186,266981446,270283369,182736704,
Instructions per Cycle,1.500,0.500,0.500,0.510,0.490,0.520,3.110,
Cycles per Instruction,0.666,2.011,2.012,1.946,2.041,1.942,0.322,
Wall Clock Time,0.104,5.374,5.352,8.465,6.836,8.422,0.014,
User Space Time,0.104,5.278,5.286,8.394,6.788,8.368,0.014,
Kernel Space Time,0,0.056,0.056,0.060,0.044,0.052,0,
Average Power Consumption (mW),3166.315,5327.868,5443.934,5516.073,5583.098,5754.049,5442.865,
