System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),227.930,9726.420,9920.440,13469.560,13364.730,13265.220,38.080,
CPU Utilized,2.139,0.881,1.682,1.627,2.812,2.763,2.415,
Context Switches,0,3033,1543,2588,1494,1214,0,
Context Switches per Second,0,311.831,155.537,192.137,111.787,91.518,0,
CPU Migration,0,0,228,189,482,483,0,
CPU Migration Rate per Second,0,0,22.983,14.032,36.065,36.411,0,
Page Fault,1062,1065,1068,1070,1068,1065,1072,
Page Fault Rate per Second,5000,109.496,107.657,79.438,79.912,80.285,28150,
CPU Cycle Counts,148567262,958353502,978527633,834354805,1056382609,821154388,87052300,
CPU Frequency (GHz),0.652,0.099,0.099,0.062,0.079,0.062,2.286,
Instruction Counts,208416231,346360256,346394473,355672307,358356823,352287892,187424155,
Instructions per Cycle,1.400,0.360,0.350,0.430,0.340,0.430,2.150,
Cycles per Instruction,0.713,2.767,2.825,2.346,2.948,2.331,0.464,
Wall Clock Time,0.107,11.042,5.897,8.277,4.752,4.801,0.016,
User Space Time,0.113,4.729,5.131,8.721,7.583,8.378,0.016,
Kernel Space Time,0.134,4.123,3.742,3.812,4.619,3.658,0.027,
Average Power Consumption (mW),3508.721,5352.710,5564.057,5562.057,5810.155,5872.526,5372.409,
