System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),198.770,9716.070,9458.140,13138.080,12172.710,12578.690,29.180,
CPU Utilized,0.845,0.880,0.922,0.931,0.930,0.940,0.836,
Context Switches,0,3087,1685,3040,2768,2489,0,
Context Switches per Second,0,317.721,178.153,231.388,227.394,197.874,0,
CPU Migration,0,0,0,1,1,1,0,
CPU Migration Rate per Second,0,0,0,0.076,0.082,0.079,0,
Page Fault,1104,1112,1113,1113,1116,1119,1132,
Page Fault Rate per Second,6000,114.450,117.676,84.716,91.681,88.960,38788,
CPU Cycle Counts,141842590,957526190,933360249,813680008,961802021,779395198,65193428,
CPU Frequency (GHz),0.714,0.099,0.099,0.062,0.079,0.062,2.234,
Instruction Counts,208754202,346915265,337411633,354081516,346005110,343886591,188167567,
Instructions per Cycle,1.470,0.360,0.360,0.440,0.360,0.440,2.890,
Cycles per Instruction,0.679,2.760,2.766,2.298,2.780,2.266,0.346,
Wall Clock Time,0.235,11.036,10.263,14.107,13.089,13.376,0.035,
User Space Time,0.095,4.889,5.108,8.926,6.673,8.506,0.018,
Kernel Space Time,0.117,4.047,3.201,3.591,4.994,3.146,0.014,
Average Power Consumption (mW),3178.841,5355.107,5470.182,5519.273,5606.216,5764.264,5388.900,
