System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),100.030,5345.120,5399.420,8467.920,6883.520,8466.140,14.020,
CPU Utilized,0.986,0.990,0.993,0.995,0.995,0.993,0.980,
Context Switches,0,48,30,34,15,35,0,
Context Switches per Second,0,8.980,5.556,4.015,2.179,4.134,0,
CPU Migration,0,0,0,1,1,1,0,
CPU Migration Rate per Second,0,0,0,0.118,0.145,0.118,0,
Page Fault,85,88,90,87,93,90,116,
Page Fault Rate per Second,850,16.464,16.668,10.274,13.511,10.631,8276,
CPU Cycle Counts,132150007,534517631,539935447,529246205,550682127,529136146,59071627,
CPU Frequency (GHz),1.321,0.100,0.100,0.063,0.080,0.063,4.215,
Instruction Counts,203132385,265448225,266067262,271723356,268384677,271388148,182907208,
Instructions per Cycle,1.540,0.500,0.490,0.510,0.490,0.510,3.100,
Cycles per Instruction,0.651,2.014,2.029,1.948,2.052,1.950,0.323,
Wall Clock Time,0.101,5.400,5.436,8.507,6.918,8.523,0.014,
User Space Time,0.102,5.283,5.342,8.410,6.819,8.392,0.014,
Kernel Space Time,0,0.080,0.076,0.084,0.092,0.100,0,
Average Power Consumption (mW),3164.333,5330.669,5442.185,5510.807,5582.904,5758.711,5387.764,
